repo	file_name	file_volume	file_type	total_volume	num_of_drafts	main_file_type	URL	Single	num_of_versions
draft-ietf-detnet-dp-sol-mpls	"draft-ietf-detnet-dp-sol-mpls-01.xml
draft-ietf-detnet-dp-sol-mpls-00.xml
draft-ietf-detnet-dp-sol-mpls-02.xml"	{'draft-ietf-detnet-dp-sol-mpls-01.xml': 4, 'draft-ietf-detnet-dp-sol-mpls-00.xml': 20, 'draft-ietf-detnet-dp-sol-mpls-02.xml': 14}	{'xml': 38}	38	3	xml	"draft-ietf-detnet-dp-sol-mpls-01: draft-ietf-detnet-mpls
draft-ietf-detnet-dp-sol-mpls-00: draft-ietf-detnet-mpls
draft-ietf-detnet-dp-sol-mpls-02: draft-ietf-detnet-mpls"	Y	1
draft-ietf-detnet-dp-sol-ip	"draft-ietf-detnet-dp-sol-ip-00.xml
draft-ietf-detnet-dp-sol-ip-02.xml
draft-ietf-detnet-dp-sol-ip-01.xml"	{'draft-ietf-detnet-dp-sol-ip-00.xml': 12, 'draft-ietf-detnet-dp-sol-ip-02.xml': 14, 'draft-ietf-detnet-dp-sol-ip-01.xml': 4}	{'xml': 30}	30	3	xml	"draft-ietf-detnet-dp-sol-ip-00: draft-ietf-detnet-ip
draft-ietf-detnet-dp-sol-ip-02: draft-ietf-detnet-ip
draft-ietf-detnet-dp-sol-ip-01: draft-ietf-detnet-ip"	Y	1
yang	"draft-ietf-dhc-dhcpv6-yang-15.xml
draft-ietf-dhc-dhcpv6-yang-17.xml
draft-ietf-dhc-dhcpv6-yang-19.xml
draft-ietf-dhc-dhcpv6-yang-07.xml
draft-ietf-dhc-dhcpv6-yang-22.xml
draft-ietf-dhc-dhcpv6-yang-13.xml
draft-ietf-dhc-dhcpv6-yang-10-if-24-10-19.xml
draft-ietf-dhc-dhcpv6-yang-10-if-8-10-19.xml
draft-ietf-dhc-dhcpv6-yang-21.xml
draft-ietf-dhc-dhcpv6-yang-20.xml
draft-ietf-dhc-dhcpv6-yang-14.xml
draft-ietf-dhc-dhcpv6-yang-25.xml
draft-ietf-dhc-dhcpv6-yang-23.xml"	{'draft-ietf-dhc-dhcpv6-yang-15.xml': 4, 'draft-ietf-dhc-dhcpv6-yang-17.xml': 2, 'draft-ietf-dhc-dhcpv6-yang-19.xml': 2, 'draft-ietf-dhc-dhcpv6-yang-07.xml': 10, 'draft-ietf-dhc-dhcpv6-yang-22.xml': 2, 'draft-ietf-dhc-dhcpv6-yang-13.xml': 2, 'draft-ietf-dhc-dhcpv6-yang-10-if-24-10-19.xml': 2, 'draft-ietf-dhc-dhcpv6-yang-10-if-8-10-19.xml': 8, 'draft-ietf-dhc-dhcpv6-yang-21.xml': 2, 'draft-ietf-dhc-dhcpv6-yang-20.xml': 2, 'draft-ietf-dhc-dhcpv6-yang-14.xml': 2, 'draft-ietf-dhc-dhcpv6-yang-25.xml': 2, 'draft-ietf-dhc-dhcpv6-yang-23.xml': 2}	{'xml': 42}	42	13	xml	"draft-ietf-dhc-dhcpv6-yang-15: rfc9243
draft-ietf-dhc-dhcpv6-yang-17: rfc9243
draft-ietf-dhc-dhcpv6-yang-19: rfc9243
draft-ietf-dhc-dhcpv6-yang-07: rfc9243
draft-ietf-dhc-dhcpv6-yang-22: rfc9243
draft-ietf-dhc-dhcpv6-yang-13: rfc9243
draft-ietf-dhc-dhcpv6-yang-10-if-24-10-19: rfc9243
draft-ietf-dhc-dhcpv6-yang-10-if-8-10-19: rfc9243
draft-ietf-dhc-dhcpv6-yang-21: rfc9243
draft-ietf-dhc-dhcpv6-yang-20: rfc9243
draft-ietf-dhc-dhcpv6-yang-14: rfc9243
draft-ietf-dhc-dhcpv6-yang-25: rfc9243
draft-ietf-dhc-dhcpv6-yang-23: rfc9243"	Y	1
draft-ietf-dmarc-dmarcbis	"draft-ietf-dmarc-dmarcbis.md
draft-ietf-dmarc-dmarcbis-01.xml
draft-ietf-dmarc-dmarcbis-03.xml"	{'draft-ietf-dmarc-dmarcbis.md': 114, 'draft-ietf-dmarc-dmarcbis-01.xml': 54, 'draft-ietf-dmarc-dmarcbis-03.xml': 2}	{'md': 114, 'xml': 56}	170	3	md	"draft-ietf-dmarc-dmarcbis: draft-ietf-dmarc-dmarcbis
draft-ietf-dmarc-dmarcbis-01: draft-ietf-dmarc-dmarcbis
draft-ietf-dmarc-dmarcbis-03: draft-ietf-dmarc-dmarcbis"	Y	1
draft-ietf-dnsop-glue-is-not-optional	draft-ietf-dnsop-glue-is-not-optional.md	{'draft-ietf-dnsop-glue-is-not-optional.md': 44}	{'md': 44}	44	1	md		Y	1
draft-ietf-dnsop-terminology-bis	"draft-ietf-dnsop-terminology-bis-latest.xml
rfc8499.xml
draft-ietf-dnsop-terminology-bis-05.xml
draft-ietf-dnsop-terminology-bis-06.xml"	{'draft-ietf-dnsop-terminology-bis-latest.xml': 90, 'rfc8499.xml': 8, 'draft-ietf-dnsop-terminology-bis-05.xml': 6, 'draft-ietf-dnsop-terminology-bis-06.xml': 2}	{'xml': 106}	106	4	xml	"draft-ietf-dnsop-terminology-bis-latest: rfc8499
rfc8499: rfc8499
draft-ietf-dnsop-terminology-bis-05: rfc8499
draft-ietf-dnsop-terminology-bis-06: rfc8499"	Y	1
draft-ietf-doh-dns-over-https	draft-ietf-doh-dns-over-https-latest.mkd	{'draft-ietf-doh-dns-over-https-latest.mkd': 272}	{'mkd': 272}	272	1	mkd		Y	1
draft-ietf-dnssd-srp	draft-ietf-dnssd-srp.xml	{'draft-ietf-dnssd-srp.xml': 34}	{'xml': 34}	34	1	xml		Y	1
eap-aka-pfs	"draft-ietf-emu-aka-pfs-latest.xml
draft-arkko-eap-aka-pfs.xml"	{'draft-ietf-emu-aka-pfs-latest.xml': 12, 'draft-arkko-eap-aka-pfs.xml': 2}	{'xml': 14}	14	2	xml	"draft-ietf-emu-aka-pfs-latest: draft-ietf-emu-aka-pfs
draft-arkko-eap-aka-pfs: draft-ietf-emu-aka-pfs"	Y	1
gnap-core-protocol	draft-ietf-gnap-core-protocol.md	{'draft-ietf-gnap-core-protocol.md': 412}	{'md': 412}	412	1	md		Y	1
